America Tobacco District;Other;35.9934;-78.904292;318 Blackwell Street, Durham, NC 27701;919-433-1566
Bali-Hai;Restaurant;36.01158;-78.92218;811 9th Street, Durham, NC 27701;919-416-0200
Ben and Jerry's;Food;36.006819;-78.92004;609 Broad Street, Durham, NC;919-416-6128
Bojangles;Restaurant;36.030384;-78.92869;2801 Guess Road, Durham, NC;n/a
Broad Street Cafe;Music;36.01651;-78.91912;1116 Broad Street, Durham, NC 27705;919-416-9707
Bruegger's;Restaurant;36.00745;-78.92208;626 9th Street, Durham, NC 27701;919-286-4900
Casbah;Music;36.00067;-78.91088;1007 West Main Street, Durham, NC 27701;919-687-6969
Cat's Cradle (Carborro);Music;35.91027;-79.06892;300 East Main Street, Carrboro, NC 27510;919-967-9053
Chubby's Tacos;Restaurant;36.00942;-78.92197;748 9th Street, Durham, NC 27701;919-286-4499
Cookout;Restaurant;36.023393;-78.954955;3624 Hillsborough Road Durham, NC 27705;919-382-2814
Cosmic Cantina;Restaurant;36.00775;-78.92196;1920 Perry Street, Durham, NC 27701;919-286-1875
Costco;Stores;36.028711;-78.912864;1510 North Pointe Drive, Durham, NC;919-220-2770
Dame's Chicken and Waffles;Restaurant;35.996308;-78.903371;317 West Main Street, Durham, NC;919-682-9235
Defy Gravity;Other;35.873238;-78.844725;4300 Emperor Blvd Durham, NC 27703;919-825-1010
Devil's Pizzeria;Restaurant;36.00922;-78.92198;742 9th Street, Durham, NC 27701;919-286-3090
Duke University Chapel;Other;36.001798;-78.940184;401 Chapel Drive, Durham, NC;919-681-9488
Durham Bulls;Sports;35.99159;-78.90402;409 Blackwell Street, Durham, NC 27701;919-687-6500
Durham Edison Johnson Center;Other;36.028876;-78.900892;600 West Murray Avenue, Durham, NC;919-560-4270
Durham Performing Arts Center;Music;35.99314;-78.9018;123 Vivian Street, Durham, NC 27701;919-688-3722
Durham's Green Flea Mall;Stores;35.981861;-78.884724;1600 East Pettigrew Street, Durham, NC;919-477-8472
Ellerbee Creek Trail;Other;36.025312;-78.922257;1900 Maryland Avenue, Durham, NC 27705;n/a
Elmo's Diner;Restaurant;36.01051;-78.92129;776 9th Street, Durham, NC 27701;919-416-3823
Eno River State Park;Other;36.080209;-79.00658;6101 Cole Mill Rd, Durham, NC 27705;n/a
Francesca's;Food;36.007994;-78.922047;706 9th Street Durham, NC 27705;919-286-4177
Grand Asia Market;Food;35.766497;-78.739844;1253 Buck Jones Road Raleigh, NC 27606;919-468-2988
Herndon Park;Other;35.877089;-78.93585;511 Scott King Road, Durham, NC;919-560-4355
High Strung Violins & Guitars;Music;36.016513;-78.919116;1116 Broad Street, Durham, NC;919-286-3801
Hog Heaven Bar-B-Q;Restaurant;36.026643;-78.923144;2419 Guess Road, Durham, NC;919-286-7447
IHOP;Restaurant;36.029185;-78.921679;1821 North Pointe Drive, Durham, NC;919-317-4161
Immaculate Conception Catholic Church;Other;35.99725;-78.913751;810 West Chapel Hill Street, Durham, NC;919-682-3449
International Delights;Restaurant;36.00916;-78.92197;740 9th Street, Durham, NC 27701;919-286-2884
Jimmy John's Gourmet Sandwiches;Restaurant;36.0091;-78.92197;738 9th Street, Durham, NC 27701;919-286-5383
Joe Van Gogh's;Food;36.015743;-78.919087;1104 Broad Street, Durham, NC;919-286-4800
Locopops Gourmet Popsicles;Food;36.010933;-78.928934;2604 Hillsborough Road, Durham, NC;919-286-3500
Mad Hatter Bakeshop & Cafe;Restaurant;36.00636;-78.92015;1802 West Main Street, Durham, NC 27701;919-286-1987
Mellow Mushroom;Restaurant;35.991807;-78.905434;410 Blackwell Street, Durham, NC;919-680-8500
Morgan Imports;Stores;35.999559;-78.909602;113 South Gregson Street, Durham, NC;919-688-1150
Motorco;Music;36.00351;-78.9004;723 Rigsbe Avenue, Durham, NC 27701;919-901-0875
Museum of Life + Science;Other;36.028641;-78.897327;433 West Murray Avenue, Durham, NC;919-220-5429
Nasher Museum of Art;Other;35.999796;-78.928391;2001 Campus Drive, Durham, NC;919-684-5135
Nice Price Books;Stores;36.01071;-78.919906;811 Broad Street, Durham, NC;919-416-1066
Northgate;Stores;36.017623;-78.911263;1058 West Club Boulevard, Durham, NC;919-286-4400
Ox & Rabbit Soda & Sundries;Food;36.00885;-78.92211;732 9th Street, Durham, NC 27701;919-286-7850
Palace International;Restaurant;36.015743;-78.919087;1104 Broad Street, Durham, NC;919-416-4922
Pelican's SnoBalls;Food;36.032483;-78.891362;3217 North Roxboro Street, Durham, NC;919-830-7487
Pinhook;Music;35.99526;-78.90151;117 West Main Street, Durham, NC 27701;919-667-1100
Sarah P. Duke Gardens;Other;36.000429;-78.930221;420 Anderson Street, Durham, NC;919-684-3698
Southpoint;Stores;35.90439;-78.942819;6910 Fayetteville St, Durham, NC;919-572-8800
Subway;Restaurant;36.00804;-78.92223;705 9th Street, Durham, NC 27701;919-286-3030
Summit;Other;36.016762;-78.925063;2031 West Club Boulevard, Durham, NC;919-383-7100
The Carolina Theatre;Other;35.997792;-78.902965;309 West Morgan Street, Durham, NC;919-560-3030
Tripps Restaurant;Restaurant;36.017367;-78.907005;918 West Club Boulevard  Durham, NC 27701;919-286-9199
Whole Foods Market;Food;36.0065;-78.91992;621 Broad Street, Durham, NC 27701;919-286-2290
